term,codes_pipe_sep
επεισοδια κμ,I48
επεισοδια κμ με αυτοματη αναταξη,I48
επεισοδια κολπικης μαρμαρυγης,I48
επεισοδια υπερκοιλιακης ταχυκαρδιας,I47
επεισοδιο nsvt,I47
επεισοδιο vt,I47
επεισοδιο απωλειας συνειδησης,R55
επεισοδιο αρρυθμιας,I49
επεισοδιο δυσπνοιας,R06
επεισοδιο εμετου,R11
επεισοδιο ζαλης,R42
επεισοδιο θωρακαλγιας,R07
επεισοδιο κοιλιακης ταχυκαρδιας,I47
επεισοδιο κολπικης μαρμαρυγης,I48
επεισοδιο κολπικου πτερυγισμου,I48
επεισοδιο προκαρδιας δυσφοριας,R07
επεισοδιο προκαρδιου αλγους,R07
επεισοδιου αισθηματος παλμων,R00
επεισοδιου απωλειας συνειδησης,R55
επεισοδιου ζαλης,R42
επεισοδιου ζαλης και απωλειας συνειδησης,R55
επεισοδιου ζαλης και πτωσης εξ ιδιου υψους,R42
επεισοδιου ο σ αλγους,R07
επεισοδιων επιγαστραλγιας,R10
επεισοδιων οπισθοστερνικου αλγους,R07
επεισοδιων προκαρδιου αλγους,R07
επεισοδιων στηθαγχικων ενοχληματων,I20
επηρεασμενο κλασμα εξωθησεως,I50
επιγαστραλγια,R10
επιγαστραλγιας,R10
επιγαστρικα ενοχληματα,R10
επιγαστρικο αλγος,R10
επιγαστρικο καυστικο αλγος,R10
επιγαστρικου αλγους,R10
επιγαστρικου πονου καυστικου χαρακτηρα,R10
επιγαστριο αλγος,R10
επιπεδο συνειδησης,R40|R41
επιπλοκες χειρουργειου,T88|Y84
επιπλοκη αναισθησιας,T88
επιπλοκη αναταξης,T88
επιτυχης pci στην rca,Z95
επιτυχης αγγειοπλαστικη,Z95
επιτυχης αγγειοπλαστικη rca,Z95
επιτυχης αγγειοπλαστικη στην rca,Z95
επιτυχους αγγειοπλαστικης,Z95
επιτυχως αγγειοπλαστικη στον lad,Z95
ερυθρωση δερματος,R23
ετεθη holter ρυθμου 24ωρου,Z95
ετεθη μονιμος βηματοδοτης,Z95
ετρια μεικτη βλαβη μιτροειδους,I05
ευκολη κοπωση,R53
ευκολης κοπωσης,R53
εφιδρωσεις,L74|L75|R61
εφιδρωση,R61
εφιδρωσης,R61
ζαλη,R42
ζαλη ασταθεια,R42
ζαλη προλιποθυμικο επεισοδιο,R42
ζαλης,R42
ζαλης προλιποθυμικου επεισοδιου,R42
ζαλης συνοδευομενης απο αιμωδια,R42
ζευγος pvcs,I49
ηfref,I50
ηolter ρυθμου,Z95
ηλεκτρικα αναταχθεισας ανακοπης,I46
ηπατικη νοσος,K76
ηπατικη νοσος σε,K77
ηπατιτιδα,K75
ηπατοπαθεια,K76|K77
ηπια ανεπαρκεια μιτροειδους,I34
ηπια κοπωση,R53
ηπια οιδηματα κατω ακρων,R60
ηπια προς μετρια στενωση,I35
ηπια στενωση αορτικης βαλβιδας,I35
ηπια στενωση αορτικης βαλβιδος,I35
θετ. οικογενειακο ιστορικ,Z82
θετικο κληρονομικο ιστορικο,Z82
θετικο οικογ.ιστορικο,Z82
θετικο οικογενειακο ιστορικ,Z82
θετικο οικογενειακο ιστορικο,Z82
θετικο οικογενειακο ιστορικο για στεφανιαια νοσο,Z82
θετικο οικογενειακο ιστορικο πρωιμης εμφανισης στεφανιαιας νοσου,Z82
θετικο οιογενειακο,Z82
θετικου spect,I21
θετικου κληρονομικου ιστορικου,Z82
θρομβοφιλια,D68
θρομβοφιλια ετεροζυγη μεταλλαξη v leiden και παραγοντα ιι προθρομβινης,D68
θρομβοφιλια κυησης,D68
θρομβοφλεβιτιδα,I80
θρομβοφλεβιτιδα αρ κατω ακρου,I80
θρομβωση δε κατω ακρου,I79
θρομβωση κατω ακρου,I80
θυρεοειδης,E00-E07|E03
θυρεοειδιτδα hashimoto,E00-E07
θυρεοειδιτιδα,E00-E07
θυρεοειδιτιδα hashimoto,E00-E07
θυρεοειδοπαθεια,E00-E07
θυρεοειοδοπαθεια,E00-E07
θωρακαλγια,R07
θωρακαλγιας,R07
θωρακικα αλγη,R07
θωρακικα ενοχληματα κατα τη βαθεια εισπνοη,R07
θωρακικη δυσφορια,R07
θωρακικη δυσφορια κατα την αναπαυση,R07
θωρακικης δυσφοριας,R07
θωρακικο αλγος,R07
θωρακικο αλγος επιδεινουμενο κατα την εισπνοη,R07
θωρακικο αλγος υπο διερευνηση,R07
θωρακικο επιγαστρικο αλγος,R07
θωρακικος πονος,R07
θωρακικου αλγους,R07
θωρακικου αλγους οπισθοστερνικα,R07
θωρακικου αλγους συσφικτικου χαρακτηρα,R07
θωρακικου επιγαστρικου αλγους,R07
θωρακικου πονου,R07
θωρακικων ενοχληματων,R07
ιδιοκοιλιακος ρυθμος,I49
ιλιγγος,R42
ινωση πνευμονα,J84
ισοδυναμο στηθαγχης,I20
ιστορικο tια,G45
ιστορικο πρωιμης σν στην οικογενεια,Z82
ισχ. κ α,I25
ισχ. μυοκαρδιοπαθειας,I25
ισχ.αεε,I64
ισχαιμ. αεε,I64
ισχαιμικη κα,I50
ισχαιμικη καρδιακη ανεπαρκεια,I25|I50
ισχαιμικη καρδιοπαθεια,I25
ισχαιμικη μυοκαρδιοπαθεια,I25
ισχαιμικη μυοκαρδιοπαθεια με μη διατηρημενο κλασμα εξωθησης,I25
ισχαιμικης κ α,I50
ισχαιμικης κα,I25
ισχαιμικης και υπερτασικης καρδιοπαθειας,I11
ισχαιμικης μυοκαρδιοπαθειας,I25
ισχαιμικο αεε,I64
ισχαιμικο εμφρακτο,I21
ισχαιμικου αεε,I64
ισχαιμκη μυοκαρδιοπαθεια,I25
ισχαμικη καρδιακη ανεπαρκεια,I50
κ α,I50
κ α με διατηρημενο κλασμα εξωθησης,I50
κ μ,I48
κ.α,I50
κ.α με χαμηλο κλασμα εξωθησεως,I50
κ.α.,I50
κ.μ,I48
κα,I50
κα hfref,I50
κα με διατηρημενο ef,I50
κα με χαμηλο κλασμα εξωθησης,I50
κα τελικου σταδιου,I50
κακοηθεια μαστου,C00-C97
κακοηθειας,C00-C97
κακοηθεις ταχυαρρυθμιες,I49
κακοηθες νεοπλασμα μαστου,C00-C97
κακοηθους νεοπλασματος κατω χειλους,C00-C97
καλη βατοτητα αγγειων και stent,Z95
καλο αποτελεσμα προηγηθησας pci,Z95
καρδιακη ανακοπη,I46
καρδιακη ανεπαρκεια,I50
καρδιακη ανεπαρκεια hfmref,I50
καρδιακη ανεπαρκεια hfref,I50
καρδιακη ανεπαρκεια απορρυθμιση,I50
καρδιακη ανεπαρκεια με ef 20,I50
καρδιακη ανεπαρκεια με διατηρημενο κλασμα εξωθησεως,I50
καρδιακη ανεπαρκεια με διατηρημενο κλασμα εξωθησης,I50
καρδιακη ανεπαρκεια με μειωμενο κλασμα εξωθησης,I50
καρδιακη ανεπαρκεια με μετρια επηρεασμενο κλασμα εξωθησης,I50
καρδιακη ανεπαρκεια με μη διατηρημενο κλασμα εξωθησης,I50
καρδιακη ανεπαρκεια.,I50
καρδιακη απορρυθμιση,I50
καρδιακη καμψη,I50
καρδιακηανεπαρκεια,I50
καρδιακης ανακοπης,I46
καρδιακης ανεπαρκεια,I50
καρδιακης ανεπαρκειας,I50
καρδιακης ανεπαρκειας με επηρεασμενο κλασμα εξωθησης,I50
καρδιακης ανερπαρκειας,I50
καρδιακης καμψης,I50
καρδιακος βηματοδοτης,Z95
καρδιακου βηματοδοτη,Z95
καρδιακου καθετηριασμου,Y84
καρδιοαναπνευστικης ανακοπης,I46
καρδιογενες shock,R57
καριακη ανεπαρκεια απορρυθμιση,I50
καρκινο παχεος εντερου,C00-C97
καρκινος μαστου,C00-C97
καρκινος παχεος εντερου,C00-C97
καρκινος πνευμονα,C00-C97
καρκινος προστατη,C00-C97
καρκινου παχεος εντερου,C00-C97
καρκινωμα πνευμονα,C00-C97
καρωτιδικη νοσος,I65
καταβολη,R53
καταβολης,R53
κατασπασεις st,I21
κατασπαση st,I21
καταχρηση αλκοολ,Z72
καταχρηση ναρκωτικων ουσιων,Z72
κατωτερο stemi,I25
κατωτερο οεμ,I21
κατωτερου stemi,I21
καυσαλγιας στο προσθιο θωρακικο τοιχωμα,R07
καυστικο αλγος,R07
καυστικου θωρακικου επιγαστρικου αλγους,R07
κεφαλαλγια,R51
κεφαλαλγιας,R51
κιρρωση,K76
κιρρωση ηπατος,K74|K76
κκα,I44
κκα 1ου βαθμου,I44
κκα 2 1,I44
κκα 2ου βαθμου,I44
κκα 2ου βαθμου 2 1,I44
κκα 2ου βαθμου mobitz ii,I44
κκα 2ου βαθμου μobitz 1,I44
κκα διαλειπων πληρης,I44
κκα πληρης,I44
κκα πρωτου βαθμου,I44
κμ,I48
κμ και κολπικου πτερυγισμου,I48
κμ με καλη κοιλιακη ανταποκριση,I48
κοιλιακες διδυμιες,I49
κοιλιακες εκακτοσυστολες,I49
κοιλιακες εκτακτες,I49
κοιλιακες και υπερκοιλιακες εκτακτες,I49
κοιλιακες συστολες,I49
κοιλιακη βηματοδοτηση,Z95
κοιλιακη διδυμια,I49
κοιλιακη δυσφορια,R10
κοιλιακη εκτακτη,I49
κοιλιακη μαρμαρυγη,I49
κοιλιακη ταχυκαρδια,I47
κοιλιακης διατασης,R18
κοιλιακης διδυμιας,I49
κοιλιακης διδυμιας κοιλιακης τεριδυμιας,I49
κοιλιακης μαρμαρυγης,I49
κοιλιακης ταχυκαρδιας,I47
κοιλιακο αλγος,R10
κοιλιακο αλγος υπο διερευνηση,R10
κοιλιακου αλγους,R10
κοιλιακου και θωρακικου αλγους,R10
κοιλιογραφια,Y84
κολοποκοιλιακος αποκλεισμος 2 1,I44
κολπικη μαρμαρυγη,I48
κολπικη μαρμαρυγη αγνωστης εναρξης,I48
κολπικη μαρμαρυγη αγνωστου εναρξεως εμμενουσα,I48
κολπικη μαρμαρυγη εμμενουσα,I48
κολπικη ταχυκαρδια,I47
κολπικη του μαρμαρυγη,I48
κολπικης μαρμαρυγης,I48
κολπικης μαρμαρυγης και κολπικου πτερυγισμου,I48
κολπικης ταχυκαρδιας,I48
κολπικο πτερυγισμο,I48
κολπικο πτερυγισμος,I48
κολπικος πτερυγισμος,I48
κολπικος πτερυγισμος 2 1,I48
κολπικου πτερυγισμου,I48
κολποκοιλιακη βηματοδοτηση,Z95
κολποκοιλιακη επικοινωνια,Q24
κολποκοιλιακο αποκλεισμο 2 1,I44
κολποκοιλιακος αποκελισμος 2 1,I44
κολποκοιλιακος αποκλεισμος,I44
κολποκοιλιακος αποκλεισμος 1ου βαθμου,I44
κολποκοιλιακος αποκλεισμος 2 1,I44
κολποκοιλιακος αποκλεισμος 2 1 mobitz ii,I44
κολποκοιλιακος αποκλεισμος 2oυ βαθμου,I44
κολποκοιλιακος αποκλεισμος 2ου βαθμου 2 1,I44
κολποκοιλιακος αποκλεισμος 2ου βαθμου mobitz ii,I44
κολποκοιλιακος αποκλεισμος δευτερου βαθμου 2 1,I44
κολποκοιλιακος αποκλεισμος δευτερου βαθμου mobitz ii,I44
κολποκοιλιακος αποκλεισμος πρωτου βαθμου,I44
κολποκοιλιακος αποκλεισμος πρωτου βαθμου.,I44
κολποκοιλιακου αποκλεισμου,I44
κολποκοιλιακου αποκλεισμου 2 1,I44
κοπωση,R53
κοπωσης,R53
κυανωση,R23
κυστικα μορφωματα ηπατος,K77
κχμ,I48
λειομυωματα,N93
λεμφωμα hodgkin,C00-C97
ληθαργικης καταστασης,R41
λιποθυμικα επεισοδια,R55
λιποθυμικο,R55
λιποθυμικο επεισοδιο,R55
λιποθυμικου επεισοδιου,R55
λιποθυμικου επεισοδιου με πτωση,R55
λιποθυμικων επεισοδιων,R55
λοιμωδης παροξυνση χαπ,J44
λοιμωδους παροξυνσης χαπ,J44
λοιμωξεως κατωτερου αναπνευστικου,J22
λοιμωξη αναπνευστικου,J22
λοιμωξη αναπνευστικου συστηματος,J22
λοιμωξη κατωτερου αναπνευστικου,J22
μov μεταλλικη βαλβιδα,Z95
μεικτη βλαβη miv,I05
μεικτη βλαβη αορτικης,I35
μεικτη βλαβη αορτικης βαλβιδας,I35
μεικτη βλαβη μιτροειδους,I05
μεικτη υπερλιπιδαιμια,E78
μεικτης υπερλιπιδαιμιας,E78
μειωμενη ικανοτητα προς κοπωση,R53
μειωμενη συστολικη αποδοση με χαμηλο κλασμα εξωθησεως,I50
μειωμενης ικανοτητας στην κοπωση,R53
μελαινες κενωσεις,K92
μεσογειακης αναιμιας,D50-D64
μεταλλικη,Z95
μεταλλικη aov,Z95
μεταλλικη aov mv,Z95
μεταλλικη mv,Z95
μεταλλικη αοv,Z95
μεταλλικη βαλβιδα,Z95
μεταλλικη βαλβιδα στην θεση της αορτικης,Z95
μεταλλικη σε θεση aov,Z95
μεταλλικης μιτροειδους βαλβιδας,Z95
μεταλλικων βαλβιδων,Z95
μεταστατικο ca στομαχου,C00-C97
μετεμφραγματικη στηθαγχη,I20
μετρια aos,I35
μετρια προς σοβαρη στενωση αορτικης,I35
μετρια σοβαρη aos,I35
μετρια στενωση αορτικης,I35
μετρια στενωση ηπια ανεπαρκεια αορτικης βαλβιδας,I35
μετρια τενωση μιτροειδους,I05
μετριας βαρυτητας ανεπαρκεια μιτροειδους,I34
μετριου βαθμου αποφραξη σε lvot,I42
μετριου βαθμου στενωση rca,Z95
μετριου βαθμου στενωση αορτικης βαλβιδας,I35
μετριου βαθμου στενωση μιτροειδους βαλβιδας,I05
μη διατηρημενο κλασμα εξωθησεως,I50
μη εμμενουσας κοιλιακης ταχυκαρδιας,I47
μηχανικης βαλβιδας,Z95
μικρη mr,I34
μικτη βλαβη mv,I05
μικτη βλαβη mv μετρια στενωση ανεπαρκεια μιτροειδους βαλβιδας,I05
μικτη βλαβη αορτικης,I35
μικτη βλαβη αορτικης βαλβιδας,I35
μικτη βλαβη μιτροειδους βαλβιδας με μετρια στενωση και μετρια ανεπαρκεια,I05
μιτροειδης με μετρια προς σοβαρη ανεπαρκεια,I34
μιτροειδης στενωση,I05
μιτροειδικου δακτυλιου κυριως οπισθιας γλωχινας με ελαττωμενη διανοιξη και ευρηματα συμβατα με μετρια στενωση mva 1 2 cm2 και ηπια ανεπαρκεια,I05
μιτροειδους με μετριου βαθμου ανεπαρκεια,I34
μοναδα αιμοκαθαρσης,Z99
μονηρεις κοιλιακες εκτακτες,I49
μονηρης εκτακτη κοιλιακη συστολη,I49
μονιμη κολπικη μαρμαρυγη,I48
μονιμο βηματοδοτη,Z95
μονιμος ddd βηματοδοτης,Z95
μονιμος dddr βηματοδοτης,Z95
μονιμος απινιδωτης,Z95
μονιμος βηματοδοτης,Z95
μονιμος βηματοδοτης ddd,Z95
μονιμος βηματοδοτης dddr,Z95
μονιμος βηματοδοτης vdd,Z95
μονιμος βηματοδοτης vvir,Z95
μονιμος κολπικος πτερυγισμος,I48
μονιμου ddd βηματοδοτη,Z95
μονιμου βηματοδοτη,Z95
μονιμου βηματοδοτη vvi,Z95
μυικης αδυναμιας,R53
μυοκαρδιακης ισχαιμιας,I21|I25
μυοκαρδιοπαθεια takotsubo,I42
μυοκαρδιοπαθειας takotsubo,I42
μυοκαρδιτιδα,I41
μυοκαρδιτιδας,I41
μφυτευση μονιμου βηματοδοτη,Z95
ν stemi,I21
ν. αδαμαντιαδη behcet,M30-M36
νon stemi,I21
νstemi,I21
ναυτια,R11
ναυτια και εμετους,R11
ναυτια και εφιδρωση,R11
ναυτιας,R11
ναυτιας εμετων,R11
νεα στεφανιογραφια,Y84
νευρογενης συγκοπη,R55
νεφρικη ανεπαρκεια,N18
νεφρικη ανεπαρκεια τελικου σταδιου,N18
νεφρικης ανεπαρκειας,N17
νοσηλεια xxx xx xx xxxx xx xx xxxx λογω νstemi,I25
νοσο 1 αγγειου,I25
νοσο 2 αγγειων,I25
νοσο 3 αγγειων,I25
νοσο lad,I25
νοσο δυο αγγειων,I25
νοσο στελεχους και τριων αγγειων,I25
νοσο τριων αγγειων,I25
νοσογονος παχυσαρκια,E65-E68
νοσος,I25
νοσος 1 αγγειου,I25
νοσος 2 αγγειων,I25
νοσος 3 αγγειων,I25
νοσος δυο αγγειων,I25
νοσος στελεχους και 3 αγγεια,I25
νοσος τριων αγγειων,I25
νοσος φλεβοκομβου,I49
νοσου 3 αγγειων,I25
νοσου τριων αγγειων,I25
νυγμωδη αλγη,R07
νυγμωδη αλγη αριστερου ημιθωρακιου,R07
νυγμωδους αλγους,R07
νυχτερινη παροξ. δυσπνοια,R06
ο σ αλγος,R07
ο σ αλγους,R07
ο.π.ο,J81
οεμ,I21
οεμ 1997 2002 2013,I25
οεμ 2012,I25
οεμ 2017,I25
οεμ pci 2012,I25
οεμ κατω τοιχωματος,I21
οεμ κατωτερο,I21
οεμ κατωτερου τοιχωματος,I21
οεμ με στεφανιογραφια προ 4 ετιας,I25
οεμ νstemi,I21
οεμ προ 5 ετιας,I25
οεμ προ τριετιας,I25
οεμ προσθιοδιαφραγματικο,I21
οεμ προσθιου τοιχωματος,I21
οεμ προσθιου τοιχωματος θρομβολυθεν,I21
οεμ το xxxx,I25
οιδημα ανα σαρκα,R60
οιδημα δεξιων σφυρων,R60
οιδημα οσχεου,R60
οιδημα σκελων,R60
οιδημα σφυρων,R60
οιδημα σφυρων και κνημων,R60
οιδηματα,R60
οιδηματα ακρων,R60
οιδηματα ανα σαρκα,R60
οιδηματα κατω ακρω,R60
οιδηματα κατω ακρων,R60
οιδηματα κατω ακρων αμφω,R60
οιδηματα κατω ακρων και οσφυος,R60
οιδηματα σκελων,R60
οιδηματα σκελων ραχης,R60
οιδηματα σφυρων,R60
οιδηματα σφυρων κατω ημιμοριου κορμου,R60
οιδηματος ανα σαρκα,R60
οιδηματωδη κατω ακρα,R60
οιδηματων,R60
οιδηματων ανα σαρκα,R60
οιδηματων κατω ακρου,R60
οιδηματων κατω ακρων,R60
οιδηματων κατων ακρων,R60
οιδηματων σκελων,R60
οιδηματων στα κατω ακρα,R60
οιδηματων σφυρων,R60
οιδηματων των κατω ακρων,R60
οικογ ιστορικο,Z82
οικογενειακο ιστορικο,Z82
οικογενειακο ιστορικο για στεφανιαια νοσο θετικο,Z82
ολικη αρθροπλαστικη ισχιου,Y83|Z96
ολικη κα hfref,I50
ολικη καρδιακη ανεπαρκεια,I50
ολλ,C00-C97
ονα,N17
ονβ,N17
οξεια δυσπνοια,R06
οξεια νεφρικη ανεπαρκεια,N17
οξεια νεφρικη βλαβη,N17
οξεια νεφρικη βλαβη αποφρακτικης αιτιολογιας,N17
οξεια περικαρδιτιδα,I30
οξειας δυσπνοιας,R06
οξειας νεφρικης ανεπαρκειας,N17
οξειας νεφρικης βλαβης,N17
οξειας περικαρδιτιδας,I30
οξεος εμφραγματος μυοκαρδιου,I21
οξεος θωρακικου αλγους,R07
οξεος πνευμονικου οιδηματος,J81
οξεος στεφανιαιου συνδρομου,I21
οξεως εμφραγματος του μυοκαρδιου,I21
οξεως πνευμονικοι οιδηματος,J81
οξεως πνευμονικου οιδηματος,J81
οξεως στεφανιαιου επεισοδιου,I21
οξεως στεφανιαιου συνδρομου,I21
οξυ διατοιχωματικο εμφραγμα κατωτερου τοιχωματος,I21
οξυ διατοιχωματικο εμφραγμα μυοκαρδιου,I21
οξυ διατοιχωματικο εμφραγμα του μυοκαρδιου,I21
οξυ εμφραγα μυοκαρδιου,I21
οξυ εμφραγμα κατω μυοκαρδιακου τοιχωματος με ανασπαση st,I21
οξυ εμφραγμα κατωτερου μυοκαρδιακου τοιχωματος,I21
οξυ εμφραγμα κατωτερου μυοκαρδιακου τοιχωματος με ανασπαση st,I21
οξυ εμφραγμα μυοκαρδιου,I21
οξυ εμφραγμα μυοκαρδιου nstemi,I21
οξυ εμφραγμα μυοκαρδιου stemi κατωτερου τοιχωματος,I21
οξυ εμφραγμα μυοκαρδιου κατωτερου οπισθιου τοιχωματος,I21
οξυ εμφραγμα μυοκαρδιου με ανασπαση st,I21
οξυ εμφραγμα μυοκαρδιου προσθιου τοιχωματος,I21
οξυ εμφραγμα μυοκαρδιου χωρις ανασπαση st,I21
οξυ εμφραγμα πλαγιου μυοκαρδιακου τοιχωματος με ανασπαση st,I21
οξυ εμφραγμα προσθιου μυοκαρδιακου τοιχωματος,I21
οξυ εμφραγμα προσθιου μυοκαρδιακου τοιχωματος με ανασπαση st,I21
οξυ εμφραγμα προσθιου μυοκαρδιακου τοιχωματος με παροδικη ανασπαση st,I21
οξυ εμφραγμα προσθιου πλαγιου μυοκαρδιακου τοιχωματος,I21
οξυ εμφραγμα το μυοκαρδιου,I21
οξυ εμφραγμα του μυοκαρδιου,I21
οξυ εμφραγμα του μυοκαρδιου nstemi,I21
οξυ εμφραγμα του μυοκαρδιου κατωτερου τοιχωματος,I21
οξυ εμφραγμα του μυοκαρδιου οπισθιου τοιχωματος,I21
οξυ εμφραγμα του μυοκαρδιου προσθιου τοιχωματος,I21
οξυ πνευμονικο οιδημα,I50|J81
οξυ πνευμονικο οιδημα.,J81
οξυ προκαρδιο αλγος,R07
οξυ στεφαναιο σ,I21
οξυ στεφανιαια συνδρομο,I21
οξυ στεφανιαιο σ,I21
οξυ στεφανιαιο συνδρομο,I20|I21|I22|I24
οξυ στεφανιαιο συνδρομο nstemi,I21
οξυ υπενδοκαρδιο εμφραγμα του μυοκαρδιου,I21
οοισθοστερνικου αλγους,R07
οπισθ.αλγους,R07
οπισθιο stemi,I21
οπισθοστερνικα αλγη,R07
οπισθοστερνικη δυσφορια,R07
οπισθοστερνικης δυσφοριας,R07
οπισθοστερνικο αλγος,R07
οπισθοστερνικο αλγος διαρκειας 20 30min,R07
οπισθοστερνικο αλγος συσφιγκτικου χαρακτηρα,R07
οπισθοστερνικο αλγους,R07
οπισθοστερνικο βαρος,R07
οπισθοστερνικο καυσος,R07
οπισθοστερνικου αλγους,R07
οπισθοστερνικου αλγους συσφικτικου τυπου,R07
οπισθοστερνικου βαρους,R07
οπισθοστερνικου καυσου,R07
οπισθοστερνικου καυσου προκαρδιου αλγους,R07
οπισθοστερνικου καυσους,R07
οπισθοστερνικου καυστικου αλγους,R07
οπισθοστερνικου πονου,R07
οπισθοστερνικου συσφιγκτικου αλγους με αντανακλαση στην μεσοωμοπλατιαια περιοχη,R07
οπισθοστερνικου συσφικτικου αλγους,R07
οπισθστερνικο αλγος,R07
οπισθστερνικου συσφικτικου αλγους,R07
οπο,J81
ορθοκυτταρικη αναιμια,D50-D64
ορθοπαιδικη επεμβαση,Y83
ορθοπνοια,R06
ορθοπνοιας,R06
ορθοστατικη υποταση,I95
οσς,I20|I21|I22|I24
οσς minoca,I24
οστεοαρθριτιδα,M30-M36
οσφυαλγια,M54
οσφυαλγιας,M54
π εμ,I25
π. αεε,I64
π. οεμ,I25
π.cabg,Z95
π.αεε,G45|I64
π.ε,I26
π.εμ,I21|I25
π.οεμ,I21|I25
πcabg,Z95
πpci,Z95
πααροξυντικη κολπικη μαρμαρυγη,I48
παλ. pci,Z95
παλαια cabg,Z95
παλαια pci,Z95
παλαια pci rca,Z95
παλαια pcix2,Z95
παλαια αγγειοπλαστικη,Z95
παλαια αεε,I64
παλαια εμφραγματα μυοκαρδιου,I25
παλαια π.ε,I26
παλαια πολλαπλα αεε,I64
παλαιες pci,Z95
παλαιο cabg,Z95
παλαιο cabg x3,Z95
παλαιο nstemi,I25
παλαιο αεε,I64
παλαιο ε,I21|I25
παλαιο εμ,I25
παλαιο εμφαργμα,I25
παλαιο εμφραγμα μυοκαρδιου,I25
παλαιο εμφραγμα μυοκαρδιου xxxx,I25
παλαιο κατωτερο stemi,I25
παλαιο κατωτερο οεμ,I25
παλαιο οεμ,I25
παλαιο προσθιο stemi,I25
παλαιου stent,Z95
παλια εμ,I25
παλιο εμφραγμα,I21
παρ. κολπικη μαρμαρυγη,I48
παρ.κολπικος πτερυγισμος,I48
παραγοντας v leiden,D68
παραγωγικου βηχα,R05
παραταση εκπνοης αμφω,R06
παρελθον για οεμ,I25
παριξυσμικη κμ,I48
παροδικο αεε,G45
παροδικο ισχαιμικο αεε,G45
παροδικο ισχαιμικο επεισοδιο,G45
παροξ. af,I48
παροξ. κ μ,I48
παροξ. κμ,I48
παροξ. κολπικη μαρμαρυγη,I48
παροξ. κολπικης μαρμαρυγης,I48
παροξυνση χαπ,J44
παροξυντικη κμ,I48
παροξυντικη κολπικη μαρμαρυγη,I48
παροξυντικος κολπικος πτερυγισμος,I48
παροξυσμικoς κολπικος πτερυγισμος,I48
παροξυσμικη κολπικη μαρμαρυγ,I48
παροξυσμικη κολπικη μαρμαρυγη,I48
παροξυσμικη κοπλικη μαρμαρυγη,I48
παροξυσμικης κολπικης μαρμαρυγης,I48
παροξυσμικος κολπικος πτερυγισμος,I48
παροξυσμος κολπικης μαρμαρυγης,I48
παρουσια βηματοδοτη,Z95
παρουσια καρδιακου βηματοδοτη,Z95
παρουσια μονιμου βηματοδοτη,Z95
παχυσαρκια,E65-E68
πε,I26
πεμ,I21|I25
πεμ κατωτερο,I25
πενυμονικου οιδηματος,J81
περικαρδιακη συλλογη,I30
περικαρδιου αλγους,R07
περικαρδιτιδα,I30
περικαρδιτιδας,I30
περικαρδιτις,I30
περιοριστικη μυοκαρδιοπαθεια,I42
περιοριστικη μυοκαρδιοπαθεια.,I42
περιφερικα οιδηματα,R60
περιφερικη αγγειοπαθεια,I79
περιφερικων οιδηματων,R60
πιθ οεμ xxxx,I25
πιθανη μυοκαρδιτιδα,I41
πιθανο προσφατο nstemi,I21|I22
πκκα,I44
πκμ,I48
πλαστικη μιτροειδους προσθετικος δακτυλιος τριγλωχινας,Z95
πλευριτικο αλγος,R09
πληρες a v block,I44
πληρη αποφραξη la,I21
πληρη απωλεια συνειδησης,R55
πληρη κκ αποκλεισμου,I44
πληρη κκα,I44
πληρη κολποκοιλιακο αποκλεισμο,I44
πληρη κολποκοιλιακου αποκλεισμου,I44
πληρης κκα,I44
πληρης κολποκοιλιακος αποκλεισμος,I44
πληρους κκα,I44
πληρους κολποκοιλιακου αποκλεισμου,I44
πνευμονικα οιδηματα,J81
πνευμονικη εμβολη,I26
πνευμονικη εμβολης,I26
πνευμονικη ινωση,J84
πνευμονικη συμφορηση,J81
πνευμονικη υπερτασ,I27
πνευμονικη υπερταση,I27
πνευμονικης εμβολης,I26
πνευμονικης υπερτασης,I27
πνευμονικο οιδημα,J81
πνευμονικο οιδημα σε εδαφος κα,I50|J81
πνευμονικου οιδηματος,J81
ποεμ,I25
πολλαπλο μυελωμα,C00-C97
πολυβαλβιδικη νοσος,I08
πολυεστιακες εκς,I49
πολυκυτταραιμια,D47
πολυοζωδης βρογχοκηλη,E00-E07|E03
πονου,R07
πονου ενιοτε με ατυπους χαρακτηρες πχ νυγμωδεις,R07
πορισμα αγγειοπλαστικης στεφανιογραφιας,Z95
προ λιποθυμικων επεισοδιων,R55
προγραμματισμος βηματοδοτη,Z46
προηγουμενο εμ,I25
προκαδιο αλγος,R07
προκαδριο αλγος,R07
προκαρδι ο αλγος,R07
προκαρδια αλγη,R07
προκαρδια δυσφορια,R07
προκαρδια δυσφορια με αντανακλαση στη ραχη,R07
προκαρδιας δυσφοριας,R07
προκαρδιας και επιγαστρικης δυσφοριας,R07
προκαρδιο αλγος,R07
προκαρδιο αλγος απο 3ημερου συσφικτικο με αντανακλαση στον αρ αγκωνα,R07
προκαρδιο αλγος σε ελαχιστη κοπωση,R07
προκαρδιο αλγος στη βαθεια εισπνοη,R07
προκαρδιο αλγος στην κοπωση,R07
προκαρδιο αλγος συσφιγκτικου χαρακτηρα με επεκταση στον τραχηλο αντανακλαση στο αρ ανω ακρο,R07
προκαρδιο αλγους,R07
προκαρδιο δυσφορια,R07
προκαρδιο συσφιγκτικο αλγος,R07
προκαρδιο συσφικτικο αλγος,R07
